SampleID,ratio_in_reads,ratio_raw,ichorCNA,spike_in_ratio,spike_in_label
K1586_spike_in__0005_from_ZNL14S_label_Lung_replicate_0,0.0004166106329567868,0.0002177817080354274,0.01728,0.005,PAN_CANCER
K2031_spike_in__0005_from_ZNL14S_label_Lung_replicate_1,0.0005177226530984981,0.0002650648893574974,0.02547,0.005,PAN_CANCER
K0103_spike_in__0005_from_pool_Gastric_label_Gastric_replicate_1,0.0004880670487252231,0.0002544549461342909,0.01841,0.005,PAN_CANCER
K0009_spike_in__0001_from_ZMG048S_label_Gastric_replicate_0,0.0004304763479075406,0.0002227250462867191,0.02589,0.001,PAN_CANCER
K2AC24_spike_in__01_from_pool_Breast_label_Breast_replicate_2,0.0004323932267693252,0.000214173445947113,0.03852,0.1,PAN_CANCER
CRCC5_spike_in__0001_from_ZMG048S_label_Gastric_replicate_2,0.0004558778498383237,0.0002335126855777449,0.01792,0.001,PAN_CANCER
K0106_spike_in__005_from_ZMG046S_label_Gastric_replicate_2,0.0004062688021087013,0.0002122648358600034,0.03311,0.05,PAN_CANCER
K0793_spike_in__001_from_ZMH051S_label_Liver_replicate_1,0.000394880907508122,0.0002043935318737777,0.0271,0.01,PAN_CANCER
KABT41_spike_in__001_from_pool_CRC_label_CRC_replicate_1,0.0004876117734724292,0.0002329399829132849,0.02881,0.01,PAN_CANCER
KAAK49_spike_in__01_from_ZNL08S_label_Lung_replicate_2,0.0004643424734224835,0.0002439887056866409,0.07806,0.1,PAN_CANCER
K0AAAE20_spike_in__0001_from_ZNB32S_label_Breast_replicate_0,0.000505060916530953,0.000255641821213203,0.04084,0.001,PAN_CANCER
K0805_spike_in__005_from_ZMH056S_label_Liver_replicate_2,0.0004225208482684407,0.0002141915810980559,0.04536,0.05,PAN_CANCER
K4AC16_spike_in__0005_from_ZNC05S_label_CRC_replicate_2,0.0004317539292103246,0.0002130781191187976,0.02449,0.005,PAN_CANCER
K1586_spike_in__0005_from_ZNL07S_label_Lung_replicate_2,0.0004170919753632818,0.0002180746222358786,0.01814,0.005,PAN_CANCER
K4AA93_spike_in__005_from_ZNB22SR1_label_Breast_replicate_0,0.0004734654314313941,0.0002458310347163749,0.02857,0.05,PAN_CANCER
K0103_spike_in__05_from_ZMG051S_label_Gastric_replicate_2,0.0004842475094191341,0.0002530957414678345,0.03373,0.5,PAN_CANCER
K2AA15_spike_in__0001_from_ZNC04S_label_CRC_replicate_2,0.000416686531954818,0.000211540134181383,0.05111,0.001,PAN_CANCER
K0793_spike_in__01_from_pool_Breast_label_Breast_replicate_2,0.000398012535623303,0.0002063453964770657,0.03776,0.1,PAN_CANCER
K0106_spike_in__005_from_ZNB32S_label_Breast_replicate_1,0.0004061477275532341,0.000212048998754081,0.03606,0.05,PAN_CANCER
K0009_spike_in__001_from_ZMG046S_label_Gastric_replicate_0,0.0004290672832420736,0.0002219684087457684,0.02603,0.01,PAN_CANCER
K0CAAA80_spike_in__0005_from_ZNL07S_label_Lung_replicate_2,0.0005063871823099122,0.0002416283956191767,0.02959,0.005,PAN_CANCER
K0106_spike_in__0001_from_ZMG046S_label_Gastric_replicate_2,0.0004056161707183152,0.000211720599782806,0.03481,0.001,PAN_CANCER
K0103_spike_in__05_from_ZMG048S_label_Gastric_replicate_2,0.0005324025918991593,0.0002793595349128669,0.137,0.5,PAN_CANCER
KABT41_spike_in__0001_from_ZNC01S_label_CRC_replicate_2,0.0004858624291256342,0.0002320257944990737,0.02893,0.001,PAN_CANCER
K2AC24_spike_in__01_from_ZNL09S_label_Lung_replicate_0,0.0004278308488998834,0.0002114977756624179,0.0262,0.1,PAN_CANCER
K0043_spike_in__01_from_ZMG046S_label_Gastric_replicate_0,0.0005044613224225127,0.0002602559912614563,0.02828,0.1,PAN_CANCER
K0AC37_spike_in__05_from_ZNL07S_label_Lung_replicate_1,0.0005394000852214989,0.0002775384185252048,0.3003,0.5,PAN_CANCER
K2AC24_spike_in__01_from_pool_Liver_label_Liver_replicate_1,0.0004234217474962586,0.0002095733087433984,0.04637,0.1,PAN_CANCER
K1AB28_spike_in__01_from_ZNC01S_label_CRC_replicate_2,0.000476731564466569,0.0002385030457843818,0.05297,0.1,PAN_CANCER
K4AA93_spike_in__0001_from_pool_Breast_label_Breast_replicate_2,0.0004700099982246143,0.0002439698699635743,0.01931,0.001,PAN_CANCER
K1586_spike_in__01_from_pool_Lung_label_Lung_replicate_0,0.0004223760237331919,0.0002210416507705005,0.03472,0.1,PAN_CANCER
KZAU93_spike_in__01_from_ZNC03S_label_CRC_replicate_1,0.0005034151090917137,0.0002394006040261394,0.04252,0.1,PAN_CANCER
K0CAAA16_spike_in__001_from_ZNC01S_label_CRC_replicate_1,0.0004422619278992127,0.0002252982671835032,0.01831,0.01,PAN_CANCER
K2AC24_spike_in__001_from_ZNB03SR2_label_Breast_replicate_2,0.0004295647971648723,0.0002124102802383327,0.02658,0.01,PAN_CANCER
K0006_spike_in__0005_from_pool_Gastric_label_Gastric_replicate_2,0.0004635100961966121,0.0002376790534541657,0.02867,0.005,PAN_CANCER
KZAZ52_spike_in__001_from_ZNC19S_label_CRC_replicate_1,0.000445401634361507,0.0002094563363872681,0.03441,0.01,PAN_CANCER
K1AB28_spike_in__001_from_ZNC05S_label_CRC_replicate_0,0.0004706523797153796,0.0002352958721316066,0.03737,0.01,PAN_CANCER
K2474_spike_in__001_from_ZMH048S_label_Liver_replicate_0,0.0004513077814898243,0.0002322247191152948,0.03897,0.01,PAN_CANCER
K2031_spike_in__05_from_pool_Lung_label_Lung_replicate_2,0.0005647304647378768,0.0002924160303381631,0.1183,0.5,PAN_CANCER
K2AC24_spike_in__001_from_ZNB05S_label_Breast_replicate_2,0.0004305969485500177,0.0002129925452609159,0.02373,0.01,PAN_CANCER
K4AA93_spike_in__01_from_ZNB03SR2_label_Breast_replicate_0,0.000473403658192073,0.0002459018100455776,0.06331,0.1,PAN_CANCER
K0GAAA73_spike_in__0005_from_ZNB32S_label_Breast_replicate_1,0.0004518049549879151,0.0002278204493743723,0.0211,0.005,PAN_CANCER
K0CAAA16_spike_in__001_from_pool_CRC_label_CRC_replicate_2,0.0004424418935188884,0.0002254337362686361,0.02582,0.01,PAN_CANCER
K2AC24_spike_in__0001_from_ZNL08S_label_Lung_replicate_1,0.0004297548700839718,0.0002124567442611345,0.02301,0.001,PAN_CANCER
K0GAAA73_spike_in__0001_from_ZNB06SR3_label_Breast_replicate_0,0.0004516905884634276,0.0002278204493743723,0.02101,0.001,PAN_CANCER
K0GAAA73_spike_in__0005_from_pool_Breast_label_Breast_replicate_1,0.0004519632346482445,0.0002279429127903686,0.02131,0.005,PAN_CANCER
K2071_spike_in__0005_from_ZNC01S_label_CRC_replicate_0,0.0004145374908749609,0.0002158582426552464,0.02759,0.005,PAN_CANCER
KACE35_spike_in__0001_from_ZNB03SR2_label_Breast_replicate_2,0.0004296450806098933,0.0002080492917698734,0.02629,0.001,PAN_CANCER
KZAZ52_spike_in__0001_from_pool_CRC_label_CRC_replicate_2,0.0004446422486050705,0.000209071916816835,0.0353,0.001,PAN_CANCER
KAAB22_spike_in__0001_from_ZMH053S_label_Liver_replicate_0,0.0004299258268049521,0.0002168482678523995,0.02467,0.001,PAN_CANCER
K1936_spike_in__001_from_pool_Lung_label_Lung_replicate_0,0.0004170330677823553,0.0002181044208798025,0.03115,0.01,PAN_CANCER
K0AQ69_spike_in__001_from_ZNL09S_label_Lung_replicate_1,0.0005421167193724588,0.0002875629043853342,0.03501,0.01,PAN_CANCER
K0106_spike_in__005_from_ZNB03SR2_label_Breast_replicate_2,0.0004078174586079639,0.0002129048528212742,0.05227,0.05,PAN_CANCER
K0AC37_spike_in__001_from_ZNL08S_label_Lung_replicate_0,0.0004610688949143752,0.0002342747159086713,0.04816,0.01,PAN_CANCER
K2474_spike_in__0001_from_ZMH053S_label_Liver_replicate_2,0.0004508038107948806,0.0002319105071551491,0.04061,0.001,PAN_CANCER
K1AD22_spike_in__0005_from_pool_Lung_label_Lung_replicate_0,0.0004761623913239569,0.0002338140220270696,0.03,0.005,PAN_CANCER
K2474_spike_in__001_from_ZMH053S_label_Liver_replicate_1,0.000450619187548932,0.0002318127886226914,0.04538,0.01,PAN_CANCER
K1586_spike_in__005_from_pool_Lung_label_Lung_replicate_1,0.0004182665782108242,0.0002187538333031537,0.02206,0.05,PAN_CANCER
K0AI90_spike_in__08_from_pool_CRC_label_CRC_replicate_1,0.0006468107255761974,0.0003311096090359616,0.09322,0.8,PAN_CANCER
K4AC10_spike_in__005_from_ZNB06SR3_label_Breast_replicate_0,0.0006775984569784136,0.0003418030615060248,0.05796,0.05,PAN_CANCER
KZAU93_spike_in__05_from_ZNC04S_label_CRC_replicate_1,0.0006119881099452925,0.0002941188586211016,0.0988,0.5,PAN_CANCER
KACE35_spike_in__0005_from_ZNB32S_label_Breast_replicate_0,0.0004296007507418981,0.0002080077172498614,0.02593,0.005,PAN_CANCER
KAAK49_spike_in__01_from_pool_Lung_label_Lung_replicate_1,0.0004637296623393697,0.0002434808855738673,0.03274,0.1,PAN_CANCER
K0064_spike_in__0001_from_ZMG063S_label_Gastric_replicate_0,0.0004407488783927797,0.0002280192815827125,0.03125,0.001,PAN_CANCER
K0106_spike_in__05_from_ZMG051S_label_Gastric_replicate_0,0.0004045458891592744,0.0002119295750402835,0.03383,0.5,PAN_CANCER
KAAK49_spike_in__001_from_ZNL09S_label_Lung_replicate_0,0.0004598480772592874,0.0002414276225401059,0.0187,0.01,PAN_CANCER
K2AC24_spike_in__0001_from_ZNB05S_label_Breast_replicate_2,0.0004297548700839718,0.0002124799838962538,0.02333,0.001,PAN_CANCER
KAAG58_spike_in__01_from_ZMH050S_label_Liver_replicate_0,0.0004394449544369084,0.000227452229466922,0.03031,0.1,PAN_CANCER
K0033_spike_in__001_from_ZMG048S_label_Gastric_replicate_1,0.0004754365283247229,0.0002433191491710437,0.0189,0.01,PAN_CANCER
K0033_spike_in__0001_from_ZMG046S_label_Gastric_replicate_2,0.0004746215395427503,0.0002428187840193642,0.02084,0.001,PAN_CANCER
K0103_spike_in__05_from_pool_Gastric_label_Gastric_replicate_0,0.0005103302273113593,0.000266495593038433,0.05362,0.5,PAN_CANCER
K1586_spike_in__001_from_ZMH050S_label_Liver_replicate_1,0.0004158578986135085,0.0002174630115319786,0.01895,0.01,PAN_CANCER
K1586_spike_in__005_from_pool_Liver_label_Liver_replicate_2,0.0004155528472631042,0.0002172935273398483,0.03446,0.05,PAN_CANCER
K0AAAE18_spike_in__005_from_ZMH048S_label_Liver_replicate_2,0.0004482107731533971,0.0002269096249905884,0.0586,0.05,PAN_CANCER
K0038_spike_in__05_from_ZMG048S_label_Gastric_replicate_0,0.0005266081252644942,0.0002716464421274378,0.1157,0.5,PAN_CANCER
K0CAAA16_spike_in__0005_from_ZNC19S_label_CRC_replicate_0,0.0004414764852535471,0.0002248680918195718,0.019,0.005,PAN_CANCER
LBGS087_spike_in__001_from_pool_Lung_label_Lung_replicate_2,0.0004174936899702744,0.0002165508808630549,0.0369,0.01,PAN_CANCER
K2AC24_spike_in__01_from_ZMH050S_label_Liver_replicate_0,0.0004257424362779938,0.0002106976471521333,0.03857,0.1,PAN_CANCER
K0793_spike_in__001_from_ZNB32S_label_Breast_replicate_2,0.000395553760303996,0.0002047431650319737,0.02862,0.01,PAN_CANCER
K0033_spike_in__001_from_pool_Gastric_label_Gastric_replicate_1,0.0004747774480712166,0.0002428717375034901,0.01804,0.01,PAN_CANCER
K0805_spike_in__001_from_ZMH053S_label_Liver_replicate_0,0.000422063475048322,0.0002138370852303251,0.02386,0.01,PAN_CANCER
KACE35_spike_in__0001_from_ZNB05S_label_Breast_replicate_0,0.0004296450806098933,0.0002080492917698734,0.02691,0.001,PAN_CANCER
KABT41_spike_in__01_from_ZNC03S_label_CRC_replicate_2,0.0004994081089079609,0.0002388196999716954,0.04802,0.1,PAN_CANCER
KACE35_spike_in__01_from_ZNB22SR1_label_Breast_replicate_0,0.0004350333851462983,0.000210745660770524,0.04882,0.1,PAN_CANCER
K0009_spike_in__0005_from_ZMG063S_label_Gastric_replicate_0,0.0004305782862571182,0.0002228383080961379,0.02076,0.005,PAN_CANCER
CRCC5_spike_in__01_from_ZMG059S_label_Gastric_replicate_1,0.0004608193133698413,0.0002361859625891577,0.01896,0.1,PAN_CANCER
K1AD22_spike_in__01_from_pool_Lung_label_Lung_replicate_2,0.0004788798153014523,0.0002356027838218017,0.03759,0.1,PAN_CANCER
K1936_spike_in__001_from_ZMH053S_label_Liver_replicate_2,0.0004153213731522065,0.0002171849437420385,0.03056,0.01,PAN_CANCER
K2AC24_spike_in__01_from_ZNL09S_label_Lung_replicate_2,0.0004331456836716714,0.0002142658702597583,0.0273,0.1,PAN_CANCER
K2474_spike_in__01_from_ZMH053S_label_Liver_replicate_1,0.0004490713508918709,0.0002311887584897214,0.04408,0.1,PAN_CANCER
K2AA15_spike_in__001_from_ZNC01S_label_CRC_replicate_0,0.0004168250834522186,0.0002115744503047911,0.04994,0.01,PAN_CANCER
K0805_spike_in__0005_from_ZMH056S_label_Liver_replicate_2,0.0004222352375775918,0.0002139142389644941,0.02249,0.005,PAN_CANCER
K0AI90_spike_in__001_from_ZNC05S_label_CRC_replicate_0,0.0004435405418551486,0.0002223721977140321,0.0257,0.01,PAN_CANCER
K0AC37_spike_in__001_from_ZNL09S_label_Lung_replicate_0,0.0004605782525067931,0.0002339441431773602,0.04507,0.01,PAN_CANCER
K0GAAA73_spike_in__005_from_ZNB03SR2_label_Breast_replicate_1,0.0004526519145399365,0.0002282283405073368,0.04322,0.05,PAN_CANCER
K0033_spike_in__0005_from_ZMG051S_label_Gastric_replicate_2,0.0004750291985613059,0.0002430753059566639,0.02095,0.005,PAN_CANCER
KAAG58_spike_in__0001_from_pool_Liver_label_Liver_replicate_2,0.0004405508540696969,0.0002278163335752778,0.02081,0.001,PAN_CANCER
K1936_spike_in__05_from_pool_Lung_label_Lung_replicate_1,0.0004587014437959965,0.0002408170143603101,0.1167,0.5,PAN_CANCER
KZAZ52_spike_in__001_from_ZNC01S_label_CRC_replicate_2,0.0004439799446129808,0.0002087809135429415,0.0348,0.01,PAN_CANCER
CRCC5_spike_in__01_from_ZMG063S_label_Gastric_replicate_2,0.0004584790106072461,0.0002349985312044884,0.02788,0.1,PAN_CANCER
K1586_spike_in__005_from_ZNL09S_label_Lung_replicate_2,0.0004176259959472121,0.0002182403376462685,0.0155,0.05,PAN_CANCER
K2070_spike_in__001_from_ZMH056S_label_Liver_replicate_1,0.0004684487443108133,0.0002389919069793184,0.02047,0.01,PAN_CANCER
K2474_spike_in__0001_from_ZMH056S_label_Liver_replicate_2,0.0004507576408019684,0.0002318982878334169,0.04194,0.001,PAN_CANCER
K1586_spike_in__0005_from_ZMH056S_label_Liver_replicate_0,0.0004162910429071122,0.0002176029352673734,0.02,0.005,PAN_CANCER
K0038_spike_in__0005_from_ZMG046S_label_Gastric_replicate_0,0.0004848989418852555,0.0002483999527406122,0.02725,0.005,PAN_CANCER
K2031_spike_in__01_from_ZNL07S_label_Lung_replicate_2,0.0005268454948803848,0.0002701092064845589,0.05149,0.1,PAN_CANCER
K0059_spike_in__01_from_ZMG051S_label_Gastric_replicate_0,0.000460197428476075,0.0002396429728445,0.03135,0.1,PAN_CANCER
K2070_spike_in__0005_from_ZMH056S_label_Liver_replicate_0,0.0004684694063451579,0.000238885202388852,0.01847,0.005,PAN_CANCER
K1936_spike_in__005_from_ZMH056S_label_Liver_replicate_0,0.0004145096171008125,0.0002168882926449078,0.05015,0.05,PAN_CANCER
K0GAAA73_spike_in__005_from_pool_Breast_label_Breast_replicate_2,0.0004545100281580152,0.0002294405759620679,0.02717,0.05,PAN_CANCER
K0AAAE18_spike_in__01_from_ZMH056S_label_Liver_replicate_2,0.000447723190518096,0.000226810409949787,0.06954,0.1,PAN_CANCER
K0038_spike_in__0005_from_ZMG059S_label_Gastric_replicate_0,0.0004856034191879429,0.0002488078258489288,0.02664,0.005,PAN_CANCER
K0CAAA16_spike_in__01_from_ZNC19S_label_CRC_replicate_1,0.0004450609468750353,0.000226749086678739,0.05871,0.1,PAN_CANCER
LBGS087_spike_in__01_from_pool_Breast_label_Breast_replicate_0,0.0004205065935052017,0.0002181468462552531,0.05085,0.1,PAN_CANCER
K0033_spike_in__0001_from_ZMG048S_label_Gastric_replicate_1,0.0004746215395427503,0.0002428187840193642,0.02092,0.001,PAN_CANCER
K0AAAE18_spike_in__0001_from_ZMH051S_label_Liver_replicate_0,0.0004473939913432943,0.0002263958993784046,0.01864,0.001,PAN_CANCER
K0AQ69_spike_in__005_from_ZNL14S_label_Lung_replicate_0,0.0005450596287037416,0.0002890456061807947,0.03162,0.05,PAN_CANCER
K0AC37_spike_in__01_from_ZNL07S_label_Lung_replicate_2,0.0004692031831020113,0.0002386631003287873,0.07834,0.1,PAN_CANCER
K2070_spike_in__0005_from_ZMH053S_label_Liver_replicate_2,0.000468335328094916,0.000238885202388852,0.01894,0.005,PAN_CANCER
K2474_spike_in__001_from_pool_Liver_label_Liver_replicate_0,0.0004511860799285949,0.0002321281801718379,0.03959,0.01,PAN_CANCER
K0AAAE18_spike_in__05_from_pool_Liver_label_Liver_replicate_0,0.0004467653020477255,0.0002272662874986932,0.1363,0.5,PAN_CANCER
K0064_spike_in__05_from_pool_Gastric_label_Gastric_replicate_1,0.0004655010618857115,0.0002419216148299875,0.05582,0.5,PAN_CANCER
K2AC24_spike_in__05_from_pool_Breast_label_Breast_replicate_0,0.000459372143279484,0.0002286159946934962,0.08408,0.5,PAN_CANCER
K4AC10_spike_in__0005_from_ZNB05S_label_Breast_replicate_2,0.0006744405332827009,0.0003401031055976508,0.08068,0.005,PAN_CANCER
KABT41_spike_in__0001_from_pool_CRC_label_CRC_replicate_0,0.0004858624291256342,0.0002320257944990737,0.02888,0.001,PAN_CANCER
K2AC24_spike_in__01_from_ZMH051S_label_Liver_replicate_2,0.0004301888907572445,0.0002129925452609159,0.07261,0.1,PAN_CANCER
K0033_spike_in__01_from_ZMG046S_label_Gastric_replicate_0,0.0004784528221431177,0.0002450462282984075,0.01479,0.1,PAN_CANCER
K0106_spike_in__0005_from_ZMG048S_label_Gastric_replicate_1,0.0004057480883188898,0.0002118284144740897,0.03461,0.005,PAN_CANCER
K0CAAA80_spike_in__01_from_ZNL08S_label_Lung_replicate_0,0.0005079318908508355,0.0002425547273968985,0.06091,0.1,PAN_CANCER
KZAU93_spike_in__01_from_ZNC19S_label_CRC_replicate_2,0.0004976575033710298,0.0002365874785857625,0.04978,0.1,PAN_CANCER
K2AC24_spike_in__005_from_pool_Lung_label_Lung_replicate_1,0.0004304468968723912,0.0002128996267113419,0.03231,0.05,PAN_CANCER
K2AA15_spike_in__01_from_ZNC01S_label_CRC_replicate_1,0.000421695948756247,0.0002139590307499733,0.04682,0.1,PAN_CANCER
K2031_spike_in__05_from_ZNL08S_label_Lung_replicate_2,0.0005431412574625346,0.000279391392416852,0.4082,0.5,PAN_CANCER
K0CAAA16_spike_in__0005_from_pool_CRC_label_CRC_replicate_1,0.0004421898045722713,0.0002252804099017418,0.01808,0.005,PAN_CANCER
K0435_spike_in__0001_from_ZNB03SR2_label_Breast_replicate_2,0.0004171284299832773,0.0002123363024935323,0.02199,0.001,PAN_CANCER
K0AAAB33_spike_in__0005_from_ZNC03S_label_CRC_replicate_2,0.0004847906625440069,0.0002538514339559801,0.02729,0.005,PAN_CANCER
K2474_spike_in__001_from_ZMH056S_label_Liver_replicate_2,0.0004507411336369325,0.0002319216227891768,0.0447,0.01,PAN_CANCER
KACE35_spike_in__0001_from_ZNB22SR1_label_Breast_replicate_2,0.0004296007507418981,0.0002080388965819165,0.02759,0.001,PAN_CANCER
K0793_spike_in__0005_from_pool_Breast_label_Breast_replicate_2,0.0003949553431174544,0.0002044533660458719,0.02705,0.005,PAN_CANCER
K0CAAA16_spike_in__0005_from_ZNC19S_label_CRC_replicate_2,0.0004416352257244308,0.0002249868849377004,0.02611,0.005,PAN_CANCER
K0043_spike_in__08_from_pool_Gastric_label_Gastric_replicate_0,0.0005670388599229827,0.0002982171811843838,0.07907,0.8,PAN_CANCER
K2AA15_spike_in__08_from_pool_CRC_label_CRC_replicate_0,0.0006309473927116163,0.0003277604591548638,0.09232,0.8,PAN_CANCER
K0006_spike_in__0001_from_ZMG046S_label_Gastric_replicate_1,0.0004634013052125895,0.0002376568355874206,0.02829,0.001,PAN_CANCER
K4AA93_spike_in__005_from_ZNB05S_label_Breast_replicate_0,0.0004690900398307427,0.0002435007380763603,0.01984,0.05,PAN_CANCER
K0GAAA73_spike_in__0005_from_ZNB05S_label_Breast_replicate_0,0.0004513606627182286,0.000227610700591983,0.02075,0.005,PAN_CANCER
KZAU93_spike_in__0001_from_ZNC04S_label_CRC_replicate_2,0.0004981559544525402,0.0002368068643910598,0.02856,0.001,PAN_CANCER
K0AAAE20_spike_in__05_from_ZNB05S_label_Breast_replicate_2,0.0005072414496498267,0.0002593429515035634,0.03799,0.5,PAN_CANCER
K0006_spike_in__001_from_ZMG063S_label_Gastric_replicate_1,0.0004635774206044287,0.0002377761093639815,0.02881,0.01,PAN_CANCER
K2070_spike_in__05_from_ZMH056S_label_Liver_replicate_0,0.0004612097855227882,0.000237333586259226,0.3106,0.5,PAN_CANCER
K2070_spike_in__0001_from_ZMH050S_label_Liver_replicate_2,0.0004686035613870666,0.0002389898694849769,0.01929,0.001,PAN_CANCER
K2AC24_spike_in__01_from_ZMH048S_label_Liver_replicate_0,0.000429981432619955,0.0002126991032799168,0.08686,0.1,PAN_CANCER
K0AAAE18_spike_in__001_from_ZMH056S_label_Liver_replicate_1,0.0004473405603686086,0.0002264291400862292,0.01856,0.01,PAN_CANCER
K0106_spike_in__0005_from_ZNB05S_label_Breast_replicate_2,0.0004059579657878205,0.000211936185864127,0.03582,0.005,PAN_CANCER
K0059_spike_in__001_from_ZMG048S_label_Gastric_replicate_0,0.0004595894958332504,0.0002392322625276945,0.03248,0.01,PAN_CANCER
K0AC37_spike_in__005_from_ZNL07S_label_Lung_replicate_1,0.0004636640224503688,0.0002355999459973157,0.05883,0.05,PAN_CANCER
K0064_spike_in__001_from_ZMG051S_label_Gastric_replicate_2,0.0004408674820457934,0.0002281126181042365,0.03023,0.01,PAN_CANCER
K0AAAE20_spike_in__0001_from_pool_Breast_label_Breast_replicate_0,0.000505060916530953,0.000255641821213203,0.04025,0.001,PAN_CANCER
K0103_spike_in__01_from_pool_Gastric_label_Gastric_replicate_1,0.000490217741790285,0.0002556939390505047,0.03518,0.1,PAN_CANCER
K0009_spike_in__0005_from_ZMG059S_label_Gastric_replicate_0,0.0004314123262041844,0.0002232465789644352,0.02559,0.005,PAN_CANCER
K0AQ69_spike_in__05_from_ZNL09S_label_Lung_replicate_0,0.0005644762679560189,0.0002990672870826878,0.1147,0.5,PAN_CANCER
K0038_spike_in__005_from_ZMG046S_label_Gastric_replicate_1,0.0004846893060346759,0.0002484470266732498,0.02609,0.05,PAN_CANCER
K4AC16_spike_in__005_from_ZNC01S_label_CRC_replicate_0,0.0004347361660682203,0.000214564518347272,0.02402,0.05,PAN_CANCER
K0AQ69_spike_in__05_from_ZNL07S_label_Lung_replicate_2,0.0006610400117681672,0.0003546666035271323,0.2843,0.5,PAN_CANCER
K0064_spike_in__0001_from_ZMG059S_label_Gastric_replicate_0,0.0004410514709171818,0.0002281712536894039,0.03056,0.001,PAN_CANCER
K2071_spike_in__005_from_ZNC03S_label_CRC_replicate_2,0.0004193465087830253,0.0002184025753552995,0.03381,0.05,PAN_CANCER
K0AI90_spike_in__01_from_pool_CRC_label_CRC_replicate_2,0.0004501242970579007,0.0002258749778969526,0.03347,0.1,PAN_CANCER
K0AAAE20_spike_in__0001_from_ZNB22SR1_label_Breast_replicate_0,0.000505060916530953,0.000255590197259,0.04031,0.001,PAN_CANCER
K2474_spike_in__01_from_ZMH053S_label_Liver_replicate_0,0.0004496501502489527,0.0002313939510234949,0.04266,0.1,PAN_CANCER
K0038_spike_in__05_from_ZMG048S_label_Gastric_replicate_1,0.0005262126460524782,0.0002714280640499198,0.116,0.5,PAN_CANCER
K1586_spike_in__0005_from_ZNL09S_label_Lung_replicate_2,0.000416732948116748,0.0002178742385383216,0.01722,0.005,PAN_CANCER
K0CAAA16_spike_in__0001_from_pool_CRC_label_CRC_replicate_2,0.0004419087402978554,0.000225121868222305,0.01818,0.001,PAN_CANCER
K2AA15_spike_in__01_from_pool_CRC_label_CRC_replicate_2,0.0004232096729680451,0.0002149077362680407,0.04429,0.1,PAN_CANCER
K2AC24_spike_in__0001_from_ZMH051S_label_Liver_replicate_1,0.0004297548700839718,0.0002124799838962538,0.02356,0.001,PAN_CANCER
K1936_spike_in__01_from_ZMH050S_label_Liver_replicate_1,0.00041420603408429,0.0002166161926429449,0.03433,0.1,PAN_CANCER
KAAB22_spike_in__005_from_ZMH056S_label_Liver_replicate_1,0.000429351436302069,0.0002167143931952786,0.03858,0.05,PAN_CANCER
K1586_spike_in__0005_from_ZNL08S_label_Lung_replicate_0,0.0004163304644073875,0.0002176460249575253,0.02046,0.005,PAN_CANCER
K1AD22_spike_in__0001_from_ZNL09S_label_Lung_replicate_0,0.0004750678327448856,0.0002332249494040304,0.03023,0.001,PAN_CANCER
K0AAAB33_spike_in__01_from_ZNC04S_label_CRC_replicate_1,0.0004997554319843477,0.0002617509843050537,0.03787,0.1,PAN_CANCER
KAAB22_spike_in__01_from_ZMH050S_label_Liver_replicate_0,0.0004286539698459593,0.0002164268889383293,0.03799,0.1,PAN_CANCER
K0AI90_spike_in__01_from_ZNC19S_label_CRC_replicate_0,0.0004512395816743643,0.0002263999263897566,0.06225,0.1,PAN_CANCER
K0064_spike_in__01_from_ZMG059S_label_Gastric_replicate_2,0.0004463761459510383,0.000231113669282487,0.03782,0.1,PAN_CANCER
CRCC5_spike_in__0001_from_ZMG063S_label_Gastric_replicate_1,0.0004558053238440087,0.0002334757041932404,0.01779,0.001,PAN_CANCER
KABT41_spike_in__001_from_ZNC01S_label_CRC_replicate_0,0.0004857899448008355,0.0002319431583446115,0.02889,0.01,PAN_CANCER
K0793_spike_in__0005_from_ZMH048S_label_Liver_replicate_1,0.0003950298067945127,0.0002044533660458719,0.02677,0.005,PAN_CANCER
K0805_spike_in__0005_from_ZMH051S_label_Liver_replicate_1,0.0004221922838403001,0.0002138811662621187,0.024,0.005,PAN_CANCER
K0AQ69_spike_in__0005_from_pool_Lung_label_Lung_replicate_0,0.0005431434555833915,0.0002881075310981853,0.03586,0.005,PAN_CANCER
K0AAAE18_spike_in__001_from_ZMH056S_label_Liver_replicate_0,0.0004472090923249681,0.0002262933185449753,0.01857,0.01,PAN_CANCER
K4AC16_spike_in__001_from_ZNC19S_label_CRC_replicate_0,0.0004321788601656852,0.0002132822813158811,0.02411,0.01,PAN_CANCER
K1AB28_spike_in__05_from_pool_CRC_label_CRC_replicate_0,0.0005468960456280829,0.0002745587240888848,0.06443,0.5,PAN_CANCER
K0064_spike_in__005_from_pool_Gastric_label_Gastric_replicate_2,0.0004426239386325946,0.0002292292767643328,0.02784,0.05,PAN_CANCER
K1936_spike_in__01_from_ZNL09S_label_Lung_replicate_0,0.0004188957958803526,0.0002189907808731142,0.03534,0.1,PAN_CANCER
KZAU93_spike_in__0005_from_ZNC03S_label_CRC_replicate_0,0.0004981559544525402,0.0002368068643910598,0.03226,0.005,PAN_CANCER
K0009_spike_in__001_from_ZMG063S_label_Gastric_replicate_2,0.0004319064246338776,0.000223537800063873,0.02668,0.01,PAN_CANCER
K0CAAA80_spike_in__01_from_ZNL09S_label_Lung_replicate_2,0.0005090276745964924,0.0002428575591843872,0.02894,0.1,PAN_CANCER
